date_capteur,date_satellite,days_diff,station_id,latitude,longitude,pH,oxygene_dissous,COD,CODMn,NH4N,TPH,DIP,DIN,quality_score,NDWI,chlorophyll_index,turbidity_index,is_interpolated
2018-04-23,2018-04-23,0,62,19.2720963,108.6903554,7.233333333333333,6.783333333333333,0.86,1.9666666666666668,0.09333333333333334,0.014,0.008,0.145,10.0,-0.520925825746526,0.9170577145353466,99066.66666666667,True
2018-04-30,2018-04-30,0,62,19.2720963,108.6903554,7.235294117647059,6.784117647058824,0.86,1.9705882352941178,0.09294117647058824,0.014,0.008,0.145,10.0,-0.5241571797172219,0.9133258006596683,97902.94117647059,True
2018-05-07,2018-05-07,0,62,19.2720963,108.6903554,7.237254901960784,6.784901960784314,0.86,1.9745098039215687,0.09254901960784313,0.014,0.008,0.145,10.0,-0.5273885336879177,0.90959388678399,96739.21568627452,True
2018-05-14,2018-05-14,0,62,19.2720963,108.6903554,7.23921568627451,6.785686274509803,0.86,1.9784313725490197,0.09215686274509804,0.014,0.008,0.145,10.0,-0.5306198876586135,0.9058619729083117,95575.49019607843,True
2018-05-21,2018-05-21,0,62,19.2720963,108.6903554,7.241176470588235,6.786470588235294,0.86,1.9823529411764707,0.09176470588235294,0.014,0.008,0.145,10.0,-0.5338512416293093,0.9021300590326333,94411.76470588235,True
2018-05-28,2018-05-28,0,62,19.2720963,108.6903554,7.243137254901961,6.787254901960784,0.86,1.9862745098039216,0.09137254901960784,0.014,0.008,0.145,10.0,-0.5370825956000052,0.898398145156955,93248.03921568628,True
2018-06-04,2018-06-04,0,62,19.2720963,108.6903554,7.245098039215686,6.7880392156862746,0.86,1.9901960784313726,0.09098039215686274,0.014,0.008,0.145,10.0,-0.540313949570701,0.8946662312812768,92084.3137254902,True
2018-06-11,2018-06-11,0,62,19.2720963,108.6903554,7.247058823529412,6.788823529411765,0.86,1.9941176470588236,0.09058823529411765,0.014,0.008,0.145,10.0,-0.5435453035413969,0.8909343174055984,90920.58823529411,True
2018-06-18,2018-06-18,0,62,19.2720963,108.6903554,7.249019607843137,6.789607843137254,0.86,1.9980392156862745,0.09019607843137255,0.014,0.008,0.145,10.0,-0.5467766575120926,0.8872024035299202,89756.86274509804,True
2018-06-25,2018-06-25,0,62,19.2720963,108.6903554,7.250980392156863,6.790392156862745,0.86,2.0019607843137255,0.08980392156862746,0.014,0.008,0.145,10.0,-0.5500080114827884,0.8834704896542418,88593.13725490196,True
2018-07-02,2018-07-02,0,62,19.2720963,108.6903554,7.252941176470588,6.791176470588235,0.86,2.0058823529411764,0.08941176470588236,0.014,0.008,0.145,10.0,-0.5532393654534842,0.8797385757785635,87429.41176470589,True
